Province_State,Country_Region,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case_Fatality_Ratio
,Afghanistan,33.93911,67.709953,38919,1437,32576,4906,Afghanistan,99.9760046286072,3.692283974408386
,Albania,41.1533,20.1683,12226,358,6888,4980,Albania,424.83841823615273,2.9281858334696547
,Algeria,28.0339,1.6596,49623,1665,34923,13035,Algeria,113.16264472888363,3.35529895411402
,Andorra,42.5063,1.5218,1564,53,1164,347,Andorra,2024.202420242024,3.3887468030690537
,Angola,-11.2027,17.8739,3901,147,1445,2309,Angola,11.869312329589718,3.7682645475519103
,Antigua and Barbuda,17.0608,-61.7964,96,3,92,1,Antigua and Barbuda,98.03120660076792,3.125
,Argentina,-38.4161,-63.6167,622934,12799,478077,132058,Argentina,1378.3013399681124,2.0546317908478264
,Armenia,40.0691,45.0382,47154,928,42551,3675,Armenia,1591.3019356554364,1.9680196801968015
Australian Capital Territory,Australia,-35.4735,149.0124,113,3,110,1,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
New South Wales,Australia,-33.8688,151.2093,4200,53,2994,1153,"New South Wales, Australia",51.736881005173686,1.261904761904762
Northern Territory,Australia,-12.4634,130.8456,33,1,31,2,"Northern Territory, Australia",13.436482084690551,1.0
Queensland,Australia,-27.4698,153.0251,1152,6,1123,23,"Queensland, Australia",22.51979278662888,0.5208333333333334
South Australia,Australia,-34.9285,138.6007,466,4,462,1,"South Australia, Australia",26.530031312268715,0.8583690987124464
Tasmania,Australia,-42.8821,147.3272,230,13,217,1,"Tasmania, Australia",42.95051353874883,5.652173913043479
Victoria,Australia,-37.8136,144.9631,20042,761,18379,902,"Victoria, Australia",302.2971688864085,3.797026244885741
Western Australia,Australia,-31.9505,115.8605,662,9,650,3,"Western Australia, Australia",25.165361514483383,1.3595166163141994
,Austria,47.5162,14.5501,37474,765,28961,7748,Austria,416.08189731746313,2.0414153813310563
,Azerbaijan,40.1431,47.5769,39042,574,36601,1867,Azerbaijan,385.0609147193928,1.4702115670303777
,Bahamas,25.025885,-78.035889,3214,73,1679,1462,Bahamas,817.2959557327691,2.271313005600498
,Bahrain,26.0275,50.55,64499,221,57299,6979,Bahrain,3790.529171953409,0.3426409711778477
,Bangladesh,23.685,90.3563,347372,4913,254386,88073,Bangladesh,210.92555796386705,1.4143339129233214
,Barbados,13.1939,-59.5432,185,7,172,6,Barbados,64.37671163756956,3.783783783783784
,Belarus,53.7098,27.9534,75461,776,73212,1473,Belarus,798.5864804465845,1.0283457680126158
,Belgium,50.8333,4.469936,100748,9944,18945,71859,Belgium,869.2954106503615,9.870171120022231
,Belize,17.1899,-88.4976,1606,20,876,710,Belize,403.902208384366,1.2453300124533002
,Benin,9.3077,2.3158,2280,40,1950,290,Benin,18.806918768463568,1.7543859649122806
,Bhutan,27.5142,90.4336,259,1,190,69,Bhutan,33.566092803118664,1.0
,Bolivia,-16.2902,-63.5887,130470,7586,89032,33852,Bolivia,1117.7047534106189,5.8143634552004295
,Bosnia and Herzegovina,43.9159,17.6791,25217,758,17489,6970,Bosnia and Herzegovina,768.6199922885014,3.005908712376572
,Botswana,-22.3285,24.6849,2567,13,624,1930,Botswana,109.15856056981876,0.5064277366575769
